date	low	high	open	close	volume
2026-04-02	570.22000000	613.62000000	610.72000000	583.32000000	2257.01059000
2026-04-03	581.98000000	590.10000000	583.38000000	587.97000000	1083.47381000
2026-04-04	587.26000000	596.40000000	587.88000000	593.31000000	495.13494000
2026-04-05	587.24000000	603.68000000	593.28000000	603.04000000	717.87223000
2026-04-06	596.50000000	610.26000000	603.20000000	599.97000000	1699.95391000
2026-04-07	592.30000000	624.76000000	599.91000000	620.12000000	1645.53192000
2026-04-08	599.93000000	621.39000000	620.40000000	601.24000000	1703.87921000
2026-04-09	596.99000000	612.06000000	601.32000000	603.00000000	1087.42229000
2026-04-10	597.35000000	610.47000000	603.03000000	605.99000000	1505.27292000
2026-04-11	603.69000000	614.27000000	605.94000000	607.26000000	908.67463000
2026-04-12	589.36000000	607.67000000	607.20000000	592.15000000	858.37889000
2026-04-13	591.75000000	618.08000000	592.11000000	615.20000000	1723.79574000
2026-04-14	611.20000000	625.41000000	615.28000000	614.18000000	1669.16753000
2026-04-15	610.94000000	627.62000000	614.24000000	622.86000000	1592.85438000
2026-04-16	614.77000000	637.54000000	622.74000000	635.86000000	1969.97480000
2026-04-17	626.94000000	645.96000000	636.09000000	643.63000000	1880.14564000
2026-04-18	628.56000000	648.92000000	643.33000000	629.98000000	1648.02014000
2026-04-19	615.24000000	630.71000000	630.12000000	617.11000000	1605.06451000
2026-04-20	616.57000000	632.27000000	617.31000000	629.59000000	1542.50104000
2026-04-21	624.96000000	640.78000000	629.58000000	632.00000000	1196.35148000
2026-04-22	631.39000000	653.96000000	632.09000000	637.83000000	1701.09509000
2026-04-23	631.32000000	640.55000000	637.86000000	638.80000000	1640.17340000
2026-04-24	632.30000000	640.51000000	638.81000000	636.42000000	1490.22573000
2026-04-25	627.05000000	638.56000000	636.42000000	628.80000000	907.16979000
2026-04-26	626.96000000	637.94000000	628.80000000	636.00000000	688.92598000
2026-04-27	618.69000000	639.98000000	636.24000000	626.61000000	1113.47881000
2026-04-28	619.08000000	627.80000000	626.74000000	624.47000000	923.93719000
2026-04-29	610.27000000	629.63000000	624.40000000	617.26000000	1234.33888000
2026-04-30	613.40000000	620.30000000	617.31000000	615.09000000	1751.89750000
2026-05-01	613.80000000	622.71000000	615.19000000	615.33000000	1098.72475000
2026-05-02	613.99000000	621.53000000	615.31000000	618.12000000	751.57023000
2026-05-03	615.04000000	622.10000000	618.16000000	617.20000000	520.52091000
2026-05-04	615.35000000	638.80000000	617.17000000	622.64000000	1719.90116000
2026-05-05	622.72000000	634.77000000	622.72000000	630.37000000	1429.57801000
2026-05-06	628.97000000	663.87000000	630.43000000	647.60000000	1861.83927000
2026-05-07	631.72000000	653.76000000	647.68000000	636.89000000	2326.17408000
2026-05-08	635.75000000	651.46000000	636.90000000	649.44000000	1023.00527000
2026-05-09	646.23000000	656.16000000	649.56000000	649.55000000	786.65720000
2026-05-10	644.74000000	666.51000000	649.68000000	663.43000000	1313.56869000
2026-05-11	649.40000000	672.89000000	663.60000000	670.32000000	1565.79073000
2026-05-12	650.45000000	671.04000000	670.44000000	664.96000000	1593.43190000
2026-05-13	663.62000000	685.47000000	665.04000000	671.50000000	1672.97310000
2026-05-14	665.25000000	687.29000000	671.52000000	678.15000000	1855.35756000
2026-05-15	669.10000000	695.31000000	678.24000000	671.89000000	4081.80191000
2026-05-16	650.51000000	674.63000000	671.90000000	656.41000000	1831.89602000
2026-05-17	639.44000000	657.31000000	656.42000000	649.02000000	2265.28992000
2026-05-18	634.04000000	649.04000000	649.04000000	643.36000000	1259.94775000
2026-05-19	635.61000000	646.70000000	643.39000000	639.36000000	1166.42577000
2026-05-20	636.90000000	650.94000000	639.21000000	648.93000000	1129.27339000
2026-05-21	645.81000000	658.97000000	649.00000000	657.80000000	814.39036000
2026-05-22	647.85000000	663.61000000	657.91000000	649.64000000	1383.55201000
2026-05-23	634.78000000	663.19000000	649.60000000	655.80000000	1029.13773000
2026-05-24	649.04000000	661.92000000	655.92000000	656.12000000	613.26022000
2026-05-25	655.20000000	672.41000000	656.20000000	662.61000000	1584.09440000
2026-05-26	652.92000000	667.28000000	662.61000000	655.62000000	1111.21570000
2026-05-27	645.74000000	658.56000000	655.60000000	647.64000000	965.17838000
2026-05-28	627.36000000	648.31000000	647.52000000	637.39000000	1810.71098000
2026-05-29	629.84000000	646.19000000	637.56000000	642.63000000	2235.72874000
2026-05-30	642.00000000	727.80000000	642.67000000	717.48000000	4437.83841000
2026-05-31	717.84000000	738.48000000	717.84000000	736.15000000	491.22323000
