date	low	high	open	close	volume
2026-03-14	70236.02000000	71316.00000000	70944.32000000	71232.02000000	3174.08339322
2026-03-15	70868.41000000	73220.80000000	71232.01000000	72830.01000000	5785.61944649
2026-03-16	72276.24000000	74913.69000000	72830.01000000	74886.47000000	12657.43153702
2026-03-17	73400.01000000	76022.60000000	74886.46000000	73934.11000000	11357.85437394
2026-03-18	70474.83000000	74700.00000000	73934.11000000	71245.02000000	9248.11451050
2026-03-19	68772.78000000	71628.00000000	71245.01000000	69918.30000000	7794.02546506
2026-03-20	69360.00000000	71384.62000000	69917.19000000	70497.01000000	7315.89355875
2026-03-21	68562.13000000	71075.92000000	70497.01000000	68912.02000000	2856.70812643
2026-03-22	67332.05000000	69577.00000000	68912.02000000	67844.94000000	4889.89870785
2026-03-23	67425.00000000	71811.00000000	67844.94000000	70874.23000000	10354.71705596
2026-03-24	68889.00000000	71389.00000000	70874.22000000	70533.49000000	7238.74499869
2026-03-25	70357.10000000	72030.29000000	70533.48000000	71301.53000000	7665.36824144
2026-03-26	68102.36000000	71414.33000000	71301.52000000	68769.02000000	8225.19395173
2026-03-27	65498.75000000	69128.75000000	68769.02000000	66353.34000000	13681.42559929
2026-03-28	65876.61000000	67249.65000000	66353.33000000	66320.15000000	4011.39625322
2026-03-29	64938.66000000	67076.07000000	66320.16000000	65956.94000000	4588.31530898
2026-03-30	65736.63000000	68129.33000000	65957.95000000	66737.18000000	10707.53083699
2026-03-31	65924.82000000	68518.10000000	66737.08000000	68221.85000000	11831.58350430
2026-04-01	67525.59000000	69285.99000000	68221.84000000	68112.35000000	9804.65444480
2026-04-02	65696.96000000	68652.00000000	68112.34000000	66894.48000000	8813.97029196
2026-04-03	66275.01000000	67375.70000000	66899.11000000	66959.99000000	4181.03967015
2026-04-04	66770.64000000	67535.20000000	66959.98000000	67291.73000000	2412.86305009
2026-04-05	66600.00000000	69117.60000000	67291.72000000	69005.00000000	3810.37749315
2026-04-06	68332.00000000	70378.48000000	69005.00000000	68853.61000000	11182.35365631
2026-04-07	67710.01000000	72753.97000000	68853.60000000	71910.20000000	11156.72732306
2026-04-08	70684.65000000	72861.38000000	71910.21000000	71085.99000000	11083.24086941
2026-04-09	70468.74000000	73147.81000000	71083.99000000	71798.01000000	10707.78813462
2026-04-10	71431.55000000	73477.87000000	71798.01000000	72997.88000000	10066.64303661
2026-04-11	72564.35000000	73822.95000000	72997.88000000	73086.00000000	2795.93594516
2026-04-12	71294.05000000	73172.14000000	73085.99000000	71596.87000000	653.99569870
