date	low	high	open	close	volume
2026-04-02	1.28020000	1.35690000	1.34760000	1.31970000	83032410.15024699
2026-04-03	1.30320000	1.33510000	1.32000000	1.31810000	45599182.95604800
2026-04-04	1.30600000	1.32250000	1.31800000	1.31520000	29014264.03138900
2026-04-05	1.27890000	1.33750000	1.31520000	1.32600000	55030517.35611900
2026-04-06	1.31210000	1.35730000	1.32600000	1.32120000	64634118.98973700
2026-04-07	1.29440000	1.39660000	1.32120000	1.37830000	90468794.15853500
2026-04-08	1.33900000	1.39000000	1.37820000	1.34270000	70856325.66423699
2026-04-09	1.32190000	1.36950000	1.34250000	1.34390000	62998009.02989100
2026-04-10	1.33510000	1.36650000	1.34380000	1.35640000	54329628.39177600
2026-04-11	1.34040000	1.37590000	1.35650000	1.35510000	38942263.50992100
2026-04-12	1.32010000	1.35670000	1.35520000	1.32500000	44641700.90707200
2026-04-13	1.31960000	1.38430000	1.32510000	1.37630000	80566296.45044500
2026-04-14	1.35260000	1.39660000	1.37630000	1.36250000	74859972.20550700
2026-04-15	1.35090000	1.40900000	1.36230000	1.39270000	68140339.97388200
2026-04-16	1.38700000	1.46700000	1.39270000	1.45350000	129434617.61267500
2026-04-17	1.42270000	1.51080000	1.45370000	1.47620000	125678584.35290100
2026-04-18	1.42360000	1.48310000	1.47610000	1.43280000	71970659.82313600
2026-04-19	1.39180000	1.44900000	1.43280000	1.39450000	84020250.42474601
2026-04-20	1.39350000	1.43760000	1.39480000	1.42500000	74937677.93042000
2026-04-21	1.41160000	1.45000000	1.42500000	1.43400000	65148053.93623100
2026-04-22	1.42700000	1.46310000	1.43410000	1.42970000	65273705.08063600
2026-04-23	1.40920000	1.44160000	1.42980000	1.43930000	67976365.93512601
2026-04-24	1.42430000	1.45100000	1.43940000	1.43380000	95049346.41357100
2026-04-25	1.41900000	1.43820000	1.43380000	1.42440000	19175133.70819600
2026-04-26	1.41820000	1.43750000	1.42440000	1.43100000	30919453.07208300
2026-04-27	1.38370000	1.44730000	1.43120000	1.40060000	62325075.66752900
2026-04-28	1.36770000	1.40080000	1.40080000	1.38030000	49290493.90158400
2026-04-29	1.34560000	1.40650000	1.38040000	1.36870000	68451293.81091399
2026-04-30	1.35840000	1.38430000	1.36900000	1.36740000	43389236.61522200
2026-05-01	1.36440000	1.40020000	1.36730000	1.38570000	47475892.90777700
2026-05-02	1.38110000	1.40030000	1.38570000	1.39380000	29473626.83477700
2026-05-03	1.38140000	1.40400000	1.39390000	1.38800000	25975858.98195000
2026-05-04	1.38290000	1.42060000	1.38780000	1.39150000	60986197.71004200
2026-05-05	1.38990000	1.42200000	1.39150000	1.41280000	54503737.84703900
2026-05-06	1.40730000	1.45720000	1.41250000	1.42490000	77735192.09580500
2026-05-07	1.38000000	1.42580000	1.42480000	1.38690000	55347420.11170500
2026-05-08	1.38170000	1.42720000	1.38690000	1.41810000	30296362.67767800
2026-05-09	1.41120000	1.43520000	1.41810000	1.42040000	29401133.11080100
2026-05-10	1.41160000	1.50750000	1.42040000	1.47340000	80021457.02103600
2026-05-11	1.43980000	1.48840000	1.47330000	1.47680000	85992463.57484899
2026-05-12	1.41800000	1.48550000	1.47670000	1.43690000	73832455.18246000
2026-05-13	1.41100000	1.46910000	1.43680000	1.42680000	70352232.42043300
2026-05-14	1.42020000	1.55010000	1.42670000	1.48530000	160462044.23195601
2026-05-15	1.42510000	1.50000000	1.48510000	1.43350000	114829288.76221900
2026-05-16	1.39560000	1.43880000	1.43320000	1.41320000	48370057.54650200
2026-05-17	1.37290000	1.42860000	1.41320000	1.40080000	45329248.81860000
2026-05-18	1.36310000	1.40210000	1.40070000	1.38920000	81781433.91384700
2026-05-19	1.35170000	1.39700000	1.38930000	1.36040000	69778342.99721600
2026-05-20	1.34650000	1.37970000	1.36040000	1.36570000	54856274.83153300
2026-05-21	1.34980000	1.38500000	1.36560000	1.37270000	62546550.00142100
2026-05-22	1.32840000	1.37480000	1.37280000	1.33300000	54750475.49941900
2026-05-23	1.30010000	1.37450000	1.33310000	1.35650000	60849083.31008600
2026-05-24	1.33080000	1.36940000	1.35670000	1.34880000	37760231.99685100
2026-05-25	1.34180000	1.36440000	1.34920000	1.34900000	40429732.55787900
2026-05-26	1.32500000	1.36410000	1.34910000	1.32710000	54620263.66927100
2026-05-27	1.30140000	1.34090000	1.32720000	1.30570000	58183100.78220400
2026-05-28	1.26560000	1.33650000	1.30550000	1.31360000	86909755.90955600
2026-05-29	1.29260000	1.33180000	1.31360000	1.32800000	84974233.61327200
2026-05-30	1.32600000	1.36430000	1.32810000	1.33900000	52123848.68923500
2026-05-31	1.33460000	1.34420000	1.33900000	1.33760000	3543455.16332600
